INTPTLAT,INTPTLON,geoid20_x,CT20,FIPS_census,tract,ShapeSTArea,ShapeSTLength,% Hispanic or Latino,% Not a Citizen,% Unemployed,Population Density (Per Sq. Mile),Median Household Income,Median Family Income,% Enrolled in School,% No Health Insurance Coverage,pop_below_100_pct,calfresh_per_100_fam_below_200f,mental_health_pct,chd_pct,snap_rate,spa,calfresh_per_100_families,Percent 65 years and over,lowaccess_count,denom_total_pop,lowaccess_li_count,lowaccess_seniors_count,lowaccess_pct
34.4715219,-118.4990703,920020,920020,6037920020,6037920020,116828058.6,62137.34561,28,6,4,1351,106172,134205,26,2,3,86,15,4,3,SPA 2 - San Fernando,13,19,3858,7088,936,273,54
34.4715219,-118.4990703,920020,920020,6037920020,6037920020,116828058.6,62137.34561,28,6,4,1351,106172,134205,26,2,3,86,15,4,3,SPA 2 - San Fernando,13,19,4864,7088,867,355,69
34.5534723,-117.9994644,910706,910706,6037910706,6037910706,222950024.6,73423.9197,71,9,8,866,91641,86451,38,6,14,70,18,4,5,SPA 1 - Antelope Valley,31,7,1853,5908,841,96,31
34.5534723,-117.9994644,910706,910706,6037910706,6037910706,222950024.6,73423.9197,71,9,8,866,91641,86451,38,6,14,70,18,4,5,SPA 1 - Antelope Valley,31,7,1853,5908,836,96,31
34.5829354,-118.0773655,910601,910601,6037910601,6037910601,28596497.7,26967.79391,80,22,7,6291,64805,77404,35,15,16,143,19,5,11,SPA 1 - Antelope Valley,53,8,3908,6460,2261,222,60
34.5829354,-118.0773655,910601,910601,6037910601,6037910601,28596497.7,26967.79391,80,22,7,6291,64805,77404,35,15,16,143,19,5,11,SPA 1 - Antelope Valley,53,8,3908,6460,2789,222,60
34.0851077,-117.8182916,401304,401304,6037401304,6037401304,106366286,70996.38846,34,3,7,1548,136182,168500,24,7,4,106,11,5,1,SPA 3 - San Gabriel,8,20,703,4812,98,146,15
34.0851077,-117.8182916,401304,401304,6037401304,6037401304,106366286,70996.38846,34,3,7,1548,136182,168500,24,7,4,106,11,5,1,SPA 3 - San Gabriel,8,20,703,4812,53,146,15
33.92747,-118.4038251,620001,620001,6037620001,6037620001,12739633.04,14713.63219,22,3,3,9655,155548,178125,31,2,3,143,13,4,2,SPA 8 - South Bay,6,10,2,3943,0,0,0
33.92747,-118.4038251,620001,620001,6037620001,6037620001,12739633.04,14713.63219,22,3,3,9655,155548,178125,31,2,3,143,13,4,2,SPA 8 - South Bay,6,10,2,3943,0,0,0
34.1610929,-117.8642089,400501,400501,6037400501,6037400501,126490827,54271.27783,16,4,7,389,166250,174750,23,2,4,79,12,5,0,SPA 3 - San Gabriel,5,23,1973,2663,235,375,74
34.1610929,-117.8642089,400501,400501,6037400501,6037400501,126490827,54271.27783,16,4,7,389,166250,174750,23,2,4,79,12,5,0,SPA 3 - San Gabriel,5,23,1973,2663,142,375,74
34.0673148,-117.8138235,401303,401303,6037401303,6037401303,62465682.58,43099.07586,28,7,5,1014,131607,173333,24,8,2,133,12,4,4,SPA 3 - San Gabriel,5,23,215,2155,19,25,10
34.0673148,-117.8138235,401303,401303,6037401303,6037401303,62465682.58,43099.07586,28,7,5,1014,131607,173333,24,8,2,133,12,4,4,SPA 3 - San Gabriel,5,23,215,2155,16,25,10
34.2173074,-118.1809076,460401,460401,6037460401,6037460401,57784780.66,86126.00064,18,5,10,488,116000,117188,28,7,8,48,15,6,0,SPA 3 - San Gabriel,8,12,282,1067,76,44,26
34.2173074,-118.1809076,460401,460401,6037460401,6037460401,57784780.66,86126.00064,18,5,10,488,116000,117188,28,7,8,48,15,6,0,SPA 3 - San Gabriel,8,12,282,1067,68,44,26
34.5346329,-117.9074722,910002,910002,6037910002,6037910002,781206641.4,131039.6842,70,10,6,259,60417,54882,30,10,27,68,19,7,3,SPA 1 - Antelope Valley,36,10,5415,7203,3014,511,75
34.5346329,-117.9074722,910002,910002,6037910002,6037910002,781206641.4,131039.6842,70,10,6,259,60417,54882,30,10,27,68,19,7,3,SPA 1 - Antelope Valley,36,10,5415,7203,2709,511,75
